num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,timed_out
4,0,1,1,10000,1,0,1,42,0,1,0,0,1,1,2.84264e-07,4,0.639682,0.00883993,2.382,9.566,125.332,1,1,142.148,89.7799,0
4,0,1,1,10000,1,0,1,42,1,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,2,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,3,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,4,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,5,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,6,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,7,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,8,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,9,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,10,1,0,0,1,0,nan,4,0.559159,0.00127663,2.801,-nan,4.41906,1,0,42.8252,69.1499,0
4,0,1,1,10000,1,0,1,42,11,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,12,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,13,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,14,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,15,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,16,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,17,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,18,0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,10000,1,0,1,42,19,1,0,0,1,1,4.35736e-07,4,0.921333,0.00113883,3.249,8.634,16.6561,1,1,163.845,90.8266,0
